,filename,aspect_ratio,corners,classification
0,dataset/nails/nail_8.jpg,3.2757009345794392,409,nail
1,dataset/nails/nail_28.jpg,0.7278911564625851,539,nail
2,dataset/nails/nail_17.jpg,0.7892976588628763,1959,nail
3,dataset/nails/nail_27.jpg,4.030456852791878,310,nail
4,dataset/nails/nail_6.jpg,0.5340681362725451,2490,nail
5,dataset/nails/nail_1.jpg,9.035398230088495,788,nail
6,dataset/nails/nail_19.jpg,0.5860284605433377,2671,nail
7,dataset/nails/nail_11.jpg,0.21071428571428572,1921,nail
8,dataset/nails/nail_3.jpg,1.7772511848341233,1675,nail
9,dataset/nails/nail_13.jpg,1.2688172043010753,1209,nail
10,dataset/nails/nail_5.jpg,1.0310262529832936,2241,nail
11,dataset/nails/nail_14.jpg,1.3234265734265733,1977,nail
12,dataset/nails/nail_21.jpg,0.4797008547008547,1917,nail
13,dataset/nails/nail_22.jpg,3.746268656716418,1277,nail
14,dataset/nails/nail_26.jpg,7.441860465116279,736,nail
15,dataset/nails/nail_24.jpg,0.1694915254237288,1706,nail
16,dataset/nails/nail_16.jpg,1.147186147186147,692,nail
17,dataset/nails/nail_23.jpg,4.0390243902439025,931,nail
18,dataset/nails/nail_4.jpg,1.2747415066469718,1462,nail
19,dataset/nails/nail_7.jpg,0.3891213389121339,761,nail
20,dataset/nails/nail_29.jpg,0.687170474516696,1340,nail
21,dataset/nails/nail_12.jpg,0.23,1678,nail
22,dataset/nails/nail_2.jpg,0.18614357262103506,909,nail
23,dataset/nails/nail_10.jpg,0.11764705882352941,745,nail
24,dataset/nails/nail_9.jpg,3.2085308056872037,1234,nail
25,dataset/nails/nail_18.jpg,1.1924242424242424,2316,nail
26,dataset/nails/nail_25.jpg,0.5896589658965896,2657,nail
27,dataset/nails/nail_15.jpg,4.03125,803,nail
28,dataset/nails/nail_20.jpg,0.4051222351571595,1139,nail
29,dataset/screws/screw_29.jpg,2.181159420289855,2065,screw
30,dataset/screws/screw_34.jpg,1.4256619144602851,5120,screw
31,dataset/screws/screw_12.jpg,0.730799683293745,6316,screw
32,dataset/screws/screw_22.jpg,2.9606481481481484,3942,screw
33,dataset/screws/screw_21.jpg,4.038817005545287,6114,screw
34,dataset/screws/screw_28.jpg,1.4096109839816933,5469,screw
35,dataset/screws/screw_32.jpg,0.7090352220520674,3731,screw
36,dataset/screws/screw_20.jpg,4.725130890052356,3084,screw
37,dataset/screws/screw_16.jpg,2.1444444444444444,1316,screw
38,dataset/screws/screw_26.jpg,0.2621637092157985,4140,screw
39,dataset/screws/screw_14.jpg,1.1291547958214625,2092,screw
40,dataset/screws/screw_33.jpg,0.42568542568542567,7566,screw
41,dataset/screws/screw_30.jpg,1.2454728370221329,4835,screw
42,dataset/screws/screw_18.jpg,0.6395409494001043,2879,screw
43,dataset/screws/screw_17.jpg,0.7465712581991651,3040,screw
44,dataset/screws/screw_6.jpg,1.7227488151658767,7796,screw
45,dataset/screws/screw_36.jpg,0.5934065934065934,5176,screw
46,dataset/screws/screw_27.jpg,1.2208462332301342,1621,screw
47,dataset/screws/screw_23.jpg,2.770794824399261,4077,screw
48,dataset/screws/screw_10.jpg,2.8988095238095237,3514,screw
49,dataset/screws/screw_35.jpg,0.6204013377926422,5215,screw
50,dataset/screws/screw_3.jpg,0.2798110979929162,7720,screw
51,dataset/screws/screw_25.jpg,1.1591304347826088,4607,screw
52,dataset/screws/screw_19.jpg,0.43322649572649574,8240,screw
53,dataset/screws/screw_11.jpg,4.22189349112426,2383,screw
54,dataset/screws/screw_4.jpg,1.9112903225806452,7092,screw
55,dataset/screws/screw_8.jpg,1.2541106128550075,7323,screw
56,dataset/screws/screw_7.jpg,0.765399737876802,2333,screw
57,dataset/screws/screw_2.jpg,1.418013856812933,3134,screw
58,dataset/screws/screw_1.jpg,3.506849315068493,10225,screw
59,dataset/screws/screw_5.jpg,1.6297786720321932,11667,screw
60,dataset/screws/screw_13.jpg,1.1425925925925926,2595,screw
61,dataset/screws/screw_9.jpg,0.373508353221957,2194,screw
62,dataset/screws/screw_24.jpg,0.7950558213716108,2749,screw
63,dataset/screws/screw_15.jpg,2.178743961352657,2498,screw
64,dataset/screws/screw_31.jpg,0.7829457364341085,3881,screw
65,dataset/washers/washer_8.jpg,1.0778894472361809,4932,washer
66,dataset/washers/washer_10.jpg,1.045881126173097,30050,washer
67,dataset/washers/washer_22.jpg,0.9973333333333333,16322,washer
68,dataset/washers/washer_29.jpg,0.9351978171896317,14669,washer
69,dataset/washers/washer_25.jpg,0.9828571428571429,6962,washer
70,dataset/washers/washer_9.jpg,1.0176600441501105,21747,washer
71,dataset/washers/washer_31.jpg,0.9389632107023411,35776,washer
72,dataset/washers/washer_6.jpg,1.1419354838709677,24742,washer
73,dataset/washers/washer_30.jpg,0.8150912106135987,13752,washer
74,dataset/washers/washer_2.jpg,1.021494370522006,649,washer
75,dataset/washers/washer_15.jpg,1.313793103448276,12906,washer
76,dataset/washers/washer_21.jpg,1.0155844155844156,2828,washer
77,dataset/washers/washer_5.jpg,1.06158357771261,775,washer
78,dataset/washers/washer_11.jpg,1.8038674033149171,1411,washer
79,dataset/washers/washer_14.jpg,0.96875,2432,washer
80,dataset/washers/washer_12.jpg,1.0996168582375478,708,washer
81,dataset/washers/washer_16.jpg,1.7150837988826815,1354,washer
82,dataset/washers/washer_17.jpg,0.9744245524296675,7512,washer
83,dataset/washers/washer_3.jpg,1.0296523517382412,528,washer
84,dataset/washers/washer_4.jpg,1.0628272251308901,2661,washer
85,dataset/washers/washer_24.jpg,1.0316091954022988,2547,washer
86,dataset/washers/washer_13.jpg,1.8441926345609065,1424,washer
87,dataset/washers/washer_26.jpg,0.9928802588996763,2744,washer
88,dataset/washers/washer_7.jpg,1.1504660452729694,18041,washer
89,dataset/washers/washer_19.jpg,1.559652928416486,13138,washer
90,dataset/washers/washer_28.jpg,0.9831989247311828,3246,washer
91,dataset/washers/washer_32.jpg,0.9466666666666667,24106,washer
92,dataset/washers/washer_18.jpg,0.9257575757575758,18227,washer
93,dataset/washers/washer_1.jpg,1.0102986611740474,881,washer
94,dataset/washers/washer_23.jpg,0.9414285714285714,11949,washer
95,dataset/washers/washer_20.jpg,0.9721115537848606,35751,washer
96,dataset/washers/washer_27.jpg,1.0305537873965627,17390,washer
97,dataset/nuts/nut_14.jpg,0.9758812615955473,1573,nut
98,dataset/nuts/nut_16.jpg,0.9672447013487476,1132,nut
99,dataset/nuts/nut_5.jpg,1.1828193832599119,7277,nut
100,dataset/nuts/nut_4.jpg,1.1304347826086956,6566,nut
101,dataset/nuts/nut_3.jpg,0.8762475049900199,1215,nut
102,dataset/nuts/nut_26.jpg,0.909710391822828,2736,nut
103,dataset/nuts/nut_8.jpg,0.94,985,nut
104,dataset/nuts/nut_10.jpg,0.910472972972973,3721,nut
105,dataset/nuts/nut_28.jpg,0.8782894736842105,3884,nut
106,dataset/nuts/nut_18.jpg,0.9338235294117647,1156,nut
107,dataset/nuts/nut_25.jpg,0.8658088235294118,2193,nut
108,dataset/nuts/nut_11.jpg,0.8390804597701149,2009,nut
109,dataset/nuts/nut_24.jpg,0.9112903225806451,2964,nut
110,dataset/nuts/nut_1.jpg,0.8286852589641435,3721,nut
111,dataset/nuts/nut_29.jpg,0.9122257053291536,643,nut
112,dataset/nuts/nut_12.jpg,0.8387096774193549,3361,nut
113,dataset/nuts/nut_7.jpg,1.0212014134275618,1226,nut
114,dataset/nuts/nut_6.jpg,1.2458628841607564,9797,nut
115,dataset/nuts/nut_33.jpg,0.9025367156208278,1518,nut
116,dataset/nuts/nut_22.jpg,0.9098939929328622,2390,nut
117,dataset/nuts/nut_9.jpg,0.9382470119521913,1918,nut
118,dataset/nuts/nut_19.jpg,0.9315286624203821,1363,nut
119,dataset/nuts/nut_15.jpg,1.053016453382084,1734,nut
120,dataset/nuts/nut_35.jpg,0.8579710144927536,16513,nut
121,dataset/nuts/nut_17.jpg,0.969811320754717,304,nut
122,dataset/nuts/nut_21.jpg,0.9033989266547406,1853,nut
123,dataset/nuts/nut_27.jpg,0.8429752066115702,4430,nut
124,dataset/nuts/nut_2.jpg,1.0036764705882353,339,nut
125,dataset/nuts/nut_13.jpg,0.9779874213836478,1430,nut
126,dataset/nuts/nut_34.jpg,0.9048257372654156,5414,nut
127,dataset/nuts/nut_31.jpg,0.8904299583911235,3878,nut
128,dataset/nuts/nut_36.jpg,0.8628318584070797,1427,nut
129,dataset/nuts/nut_32.jpg,0.9235209235209235,3879,nut
130,dataset/nuts/nut_23.jpg,1.0106382978723405,2737,nut
131,dataset/nuts/nut_30.jpg,0.9251439539347409,924,nut
132,dataset/nuts/nut_20.jpg,0.8697604790419161,8618,nut
